fecha,indicativo,nombre,provincia,tmin,longitud,latitud,altitud
2021-01-06,1393,CABO VILÁN,A CORUÑA,4.1,-9.210833333333333,43.160555555555554,50
2021-01-06,1495,VIGO AEROPUERTO,PONTEVEDRA,-1,-8.623888888888889,42.23861111111111,261
2021-01-06,1249X,OVIEDO,ASTURIAS,0.5,-5.874166666666667,43.35333333333333,336
2021-01-06,5582A,LOJA,GRANADA,,-4.152777777777779,37.16111111111111,760
2021-01-06,6155A,MÁLAGA AEROPUERTO,MALAGA,9,-4.482222222222222,36.66611111111111,5
2021-01-06,3576X,VALENCIA DE ALCÁNTARA,CACERES,-4.2,-7.231111111111111,39.414722222222224,444
2021-01-06,2870,SALAMANCA,SALAMANCA,-5.9,-5.662222222222223,40.9575,775
2021-01-06,9201K,JACA,HUESCA,-8.9,-0.5469444444444445,42.57888888888889,823
2021-01-06,1351,ESTACA DE BARES,A CORUÑA,4.4,-7.684722222222223,43.78611111111111,80
2021-01-06,3266A,PUERTO ALTO DEL LEÓN,MADRID,-7.4,-4.141944444444444,40.70638888888889,1532
2021-01-06,1631E,A POBRA DE TRIVES,OURENSE,-6.6,-7.2825,42.339444444444446,840
2021-01-06,7012C,CARTAGENA,MURCIA,6.4,-0.9877777777777778,37.60111111111111,17
2021-01-06,1057B,MACHICHACO,BIZKAIA,2.1,-2.7527777777777778,43.45388888888889,93
2021-01-06,3338,ROBLEDO DE CHAVELA,MADRID,-5.9,-4.25,40.42777777777778,763
2021-01-06,2374X,CARRIÓN DE LOS CONDES,PALENCIA,-4.4,-4.617222222222223,42.350833333333334,830
2021-01-06,1484C,PONTEVEDRA,PONTEVEDRA,-0.4,-8.615833333333333,42.43833333333333,108
2021-01-06,0252D,ARENYS DE MAR,BARCELONA,1.3,2.54,41.587500000000006,74
2021-01-06,5911A,GRAZALEMA,CADIZ,-0.1,-5.3741666666666665,36.760555555555555,913
2021-01-06,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,A CORUÑA,-1,-8.410555555555556,42.88805555555555,370
2021-01-06,0201D,BARCELONA,BARCELONA,2,2.2,41.39055555555556,6
2021-01-06,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,-6.4,-2.735,42.88194444444444,513
2021-01-06,3365A,TALAVERA DE LA REINA,TOLEDO,-5,-4.863611111111111,39.95861111111111,372
2021-01-06,5298X,ANDÚJAR,JAEN,0,-4.0633333333333335,38.02305555555555,202
2021-01-06,6000A,MELILLA,MELILLA,9.1,-2.956388888888889,35.27638888888889,52
2021-01-06,5973,CÁDIZ,CADIZ,5.8,-6.257777777777778,36.499722222222225,2
2021-01-06,2916A,VITIGUDINO,SALAMANCA,-5.4,-6.437777777777778,41.01138888888889,769
2021-01-06,2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",SEGOVIA,-10.4,-3.475277777777778,41.19194444444444,1798
2021-01-06,9771C,LLEIDA,LLEIDA,-5.6,0.5980555555555556,41.626111111111115,185
2021-01-06,9390,DAROCA,ZARAGOZA,-8,-1.41,41.114444444444445,779
2021-01-06,2614,ZAMORA,ZAMORA,-6.3,-5.735277777777778,41.51555555555556,656
2021-01-06,1208H,"GIJÓN, PUERTO",ASTURIAS,4.1,-5.700833333333334,43.559999999999995,5
2021-01-06,1037Y,ZUMARRAGA,GIPUZKOA,-4.7,-2.3175,43.080000000000005,420
2021-01-06,4511C,JEREZ DE LOS CABALLEROS,BADAJOZ,-2.2,-6.765,38.29861111111111,381
2021-01-06,9001D,REINOSA,CANTABRIA,-11.5,-4.160555555555556,42.99194444444444,870
2021-01-06,8096,CUENCA,CUENCA,-7.1,-2.1319444444444446,40.06722222222223,948
2021-01-06,6325O,ALMERÍA AEROPUERTO,ALMERIA,9.1,-2.3569444444444447,36.84638888888889,21
2021-01-06,1542,PUERTO DE LEITARIEGOS,ASTURIAS,-10.9,-6.4141666666666675,42.994166666666665,1530
2021-01-06,1111X,SANTANDER,CANTABRIA,3.6,-3.8005555555555555,43.49111111111111,52
2021-01-06,4642E,"HUELVA, RONDA ESTE",HUELVA,1.9,-6.911666666666667,37.27833333333333,19
2021-01-06,2422,VALLADOLID,VALLADOLID,-5.9,-4.754444444444444,41.64083333333333,735
2021-01-06,5910,"ROTA, BASE NAVAL",CADIZ,3.2,-6.3325,36.638888888888886,21
2021-01-06,9091R,VITORIA GASTEIZ AEROPUERTO,ARABA/ALAVA,-6.8,-2.7327777777777778,42.871944444444445,513
2021-01-06,4549Y,AYAMONTE,HUELVA,3.3,-7.3950000000000005,37.19472222222222,2
2021-01-06,3130C,SIGÜENZA,GUADALAJARA,-10.1,-2.618055555555556,41.08638888888889,1005
2021-01-06,2737E,LAGUNAS DE SOMOZA,LEON,-7.8,-6.196666666666667,42.3775,1020
2021-01-06,1210X,CABO PEÑAS,ASTURIAS,3.6,-5.8486111111111105,43.655833333333334,100
2021-01-06,B954,"IBIZA, AEROPUERTO",ILLES BALEARS,0,1.3844444444444444,38.87638888888889,6
2021-01-06,3469A,CÁCERES,CACERES,-4,-6.338888888888889,39.47138888888889,394
2021-01-06,8050X,JÁVEA/ XÀBIA,ALICANTE,-1.6,0.16777777777777778,38.78361111111111,15
